reference,name,dataset,description,period-start-date,period-end-date,local-planning-authorities,minerals-and-waste-planning-authorities,documentation-url,document-url,required-housing,entry-date,notes,document-count
southampton-amended-core-strategy,Amended Core Strategy,local-plan,Strategic and non-strategic planning policies for Southampton ,2015,2026,E60000229,,https://www.southampton.gov.uk/planning/planning-policy/adopted-plans/adopted-core-strategy-2015/,https://www.southampton.gov.uk/media/io4midh4/amended-core-strategy-inc-cspr-final-13-03-2015_tcm63-371354.pdf,16300,30/03/2026,,
hampshire-minerals-and-waste-plan,Hampshire Minerals and Waste Plan,minerals-plan;waste-plan,"Minerals and waste planning policies for the areas of Hampshire, Southampton, Portsmouth and New Forest and South Downs National Parks",2026,2040,,E10000014;E60000229;E60000226;E60000321;E60000325,https://www.hants.gov.uk/landplanningandenvironment/minerals-waste-planning/hampshire-minerals-waste-plan,https://documents.hants.gov.uk/mineralsandwaste/HampshireMineralsandWastePlan-2026.pdf,,26/06/2026,,
southampton-local-plan,Southampton Local Plan,local-plan,Strategic and non-strategic planning policies for Southampton ,2026,,E60000229,,,,,26/06/2026,"Will replace the Local Plan Review, Amended Core Strategy and City Centre Action Plan once adopted.",
council-of-the-isles-of-scilly-local-plan-2015-2030,Isles of Scilly Local Plan 2015-2030 (Minerals),minerals-plan,The Isles of Scilly Local Plan 2015-2030 includes policies relating to minerals planning and forms the Council’s minerals planning framework,2015-01-01,2030-12-31,,E60000293,https://www.scilly.gov.uk/planning/planning-policy/local-plan-2015-2030,https://www.scilly.gov.uk/sites/default/files/planning-apps/Adopted%20Local%20Plan%202015-2030%20Website%20Version_0.pdf,,2026-05-20,,1
